   index  lev     parent      ncell             peak_x             peak_y             peak_z               rho-               rho+             rho_av            mass_cl          relevance   MLADEN
       1    0          1       1744    3.825901555E-01    2.800292969E-01    2.231445308E-01    8.021226369E+01    7.636290308E+04    3.579365996E+02    2.774258951E-03    9.108473793E+01   mladen
       5    0          5        788    1.828322651E-02    3.784775669E-01    1.480151965E-01    8.024512792E+01    2.842221326E+04    4.020183811E+02    1.699815923E-03    3.552776657E+02   mladen
       6    0          6        601    1.660156151E-02    3.813692228E-01    7.873784627E-02    8.050880221E+01    2.828048795E+04    3.069321674E+02    1.274332034E-03    3.535060994E+02   mladen
       7    0          7        807    4.607511271E-01    4.441778008E-01    1.306047868E-01    8.009251989E+01    2.297386114E+04    3.499556562E+02    1.613637855E-03    2.871732642E+02   mladen
       8    0          8        114    4.723094116E-01    3.745117188E-01    1.901112374E-01    8.025661476E+01    2.257004165E+04    5.179577389E+02    2.339570814E-04    4.403517993E+01   mladen
       9    0          9        911    4.033203115E-01    2.778700693E-01    1.735654810E-01    8.007822894E+01    2.113284598E+04    3.207784259E+02    2.252561349E-03    1.841742390E+02   mladen
      10    0         10        252    1.478706245E-01    2.699538293E-01    7.812500990E-03    8.056417139E+01    2.075357244E+04    3.779915028E+02    4.361676723E-04    2.594196554E+02   mladen
      11    0         11        251    1.000418228E-01    3.606995001E-01    5.790910511E-02    8.052877757E+01    1.940952199E+04    3.934689915E+02    4.716167152E-04    2.426190248E+02   mladen
      13    0          8        384    4.692382812E-01    3.619967140E-01    1.855468740E-01    8.009689944E+01    1.853467761E+04    3.815113828E+02    7.706677442E-04    5.702129208E+01   mladen
      33    0         33         53    4.615439187E-01    4.365234375E-01    6.509209907E-02    8.164534955E+01    3.678067326E+03    3.324868758E+02    1.486332159E-04    4.597584157E+01   mladen
      36    0         36        135    4.443359375E-01    3.330193741E-01    1.933593730E-01    8.115427275E+01    3.538177611E+03    2.111077869E+02    4.765813010E-04    3.354950383E+01   mladen
      38    0         38        265    4.482423236E-01    4.858937791E-01    1.904513332E-01    8.005623312E+01    3.430028774E+03    3.792785633E+02    1.025781918E-03    4.287535967E+01   mladen
      39    0         39         97    5.162101934E-02    3.164062520E-01    1.201527532E-02    8.173565633E+01    3.386655463E+03    3.728328334E+02    2.694486442E-04    4.233319329E+01   mladen
      45    1          8         50    4.690921428E-01    3.723282543E-01    1.926441000E-01    8.307157513E+01    3.278306704E+03    1.951004528E+02    6.759294164E-05    1.350772161E+01   mladen
      59    0          1         28    3.784025457E-01    2.817009718E-01    2.167968760E-01    8.107255330E+01    2.646829972E+03    2.239687797E+02    4.088308739E-05    3.157106456E+00   mladen
      63    0         63        130    2.979197520E-01    2.531180035E-01    1.489917024E-02    8.101313000E+01    2.594502878E+03    2.401823223E+02    4.330584556E-04    3.243128597E+01   mladen
      78    0          8         30    4.697198757E-01    3.764648438E-01    1.881587903E-01    8.656157097E+01    2.237349470E+03    2.064940523E+02    4.346264137E-05    4.365170788E+00   mladen
      79    0          1         49    3.789062490E-01    2.846802595E-01    2.182617188E-01    8.193418962E+01    2.203562929E+03    1.856755407E+02    8.231173957E-05    3.573618303E+00   mladen
     216    0        216         14    4.900049533E-01    3.647667434E-01    1.659931240E-01    8.469868678E+01    4.161206116E+02    1.856879323E+02    1.549500854E-04    5.201507646E+00   mladen
     233    0        233          9    4.589843750E-01    4.414062460E-01    8.414989054E-02    9.422745426E+01    3.859594521E+02    2.057459860E+02    1.103707477E-04    4.824493151E+00   mladen
     253    0        253          8    4.679952290E-01    4.355468750E-01    3.450758397E-02    8.166421728E+01    3.624611460E+02    1.581449412E+02    7.540938434E-05    4.530764325E+00   mladen
     345    0        345         22    5.679295175E-03    3.898636233E-01    7.129289306E-02    8.164772221E+01    2.739922994E+02    1.074005252E+02    9.602355229E-05    3.424903743E+00   mladen
     536    0        536        569    4.105990928E-01    2.226562510E-01    7.543418978E-02    8.008777435E+01    2.638144570E+04    3.407101033E+02    1.035703139E-03    2.545517110E+02   mladen
     537    0        537        970    4.145507812E-01    1.940573629E-01    4.975585938E-01    8.049135257E+01    2.524901507E+04    3.517620801E+02    1.920742053E-03    1.323070652E+02   mladen
     538    0        538       1815    4.389729425E-01    2.617187490E-01    1.129202274E-01    8.004611865E+01    2.512059552E+04    3.767833832E+02    4.439322818E-03    3.140074440E+02   mladen
     539    0        539        423    3.974609385E-01    2.053340897E-01    2.094261477E-01    8.006590829E+01    2.444320200E+04    3.230738906E+02    7.654540032E-04    3.055400250E+02   mladen
     540    0        540        392    3.704295795E-01    2.493374164E-01    3.232421885E-01    8.056859377E+01    2.187805863E+04    3.400776971E+02    6.917209275E-04    4.187152345E+01   mladen
     541    0        541        462    3.901634412E-01    2.231445312E-01    4.609374990E-01    8.014295894E+01    2.025316764E+04    3.093133059E+02    9.235539088E-04    2.531645955E+02   mladen
     542    0        542       1032    3.613281260E-01    2.434234890E-01    3.900425127E-01    8.034123382E+01    1.963734764E+04    3.076550837E+02    2.108832277E-03    4.715902738E+01   mladen
     569    0        569         57    4.365079511E-01    2.148437520E-01    4.890325476E-01    8.022136784E+01    3.376995255E+03    4.605574627E+02    1.955909682E-04    4.221244069E+01   mladen
     575    0        575         96    3.753053498E-01    2.421875020E-01    4.886096569E-01    8.589343350E+01    3.187494830E+03    3.688553554E+02    2.638259092E-04    3.984368538E+01   mladen
     578    0        578        231    4.833984375E-01    2.789717390E-01    9.473884709E-02    8.062197807E+01    3.036036132E+03    3.242898305E+02    7.949125338E-04    3.795045165E+01   mladen
     581    0        542        277    3.733092418E-01    2.423228052E-01    4.003906270E-01    8.079641654E+01    2.940342299E+03    2.926668446E+02    7.413828907E-04    7.061222601E+00   mladen
     954    0        954       1057    6.591796875E-03    4.567880006E-01    3.203124995E-01    8.006907880E+01    1.562994010E+05    4.390093285E+02    1.398094370E-03    2.925491597E+02   mladen
     957    0        957        333    3.559570312E-01    2.004867691E-02    5.976562490E-01    8.023099351E+01    2.289198837E+04    2.720528122E+02    5.259938893E-04    2.861498547E+02   mladen
     958    0        954        585    1.007242171E-02    4.368621093E-01    3.090054722E-01    8.041176034E+01    2.242080239E+04    2.866112763E+02    1.019396320E-03    4.457728259E+01   mladen
     959    0        959        572    1.871286743E-01    2.651479020E-01    4.912109365E-01    8.034198568E+01    2.097312079E+04    3.438058177E+02    9.945229344E-04    2.621640099E+02   mladen
     960    0        960        539    3.017578135E-01    2.914793794E-01    3.392378052E-01    8.047867532E+01    2.002827221E+04    3.867610324E+02    1.033771935E-03    2.503534026E+02   mladen
     961    0        961        243    1.240234365E-01    3.715912173E-01    3.414399804E-01    8.228550155E+01    1.664683342E+04    3.315999017E+02    3.712094220E-04    2.080854178E+02   mladen
     964    0        964        205    3.403385975E-01    3.095703115E-01    3.033783333E-01    8.065381567E+01    1.347903371E+04    4.219006994E+02    3.555977093E-04    1.684879214E+02   mladen
     965    0        540        543    3.671874990E-01    2.592773438E-01    3.170149100E-01    8.030664353E+01    1.281445426E+04    3.143808157E+02    1.036183635E-03    2.452506099E+01   mladen
     971    0        971         29    1.210937520E-01    2.900390625E-01    4.357660436E-01    8.732470425E+01    4.210611992E+03    6.569187818E+02    1.419383636E-04    5.263264990E+01   mladen
     974    0        974        171    3.710937480E-01    2.548828125E-01    3.649333884E-01    8.016844248E+01    3.917474911E+03    2.604070103E+02    5.626531914E-04    2.288550156E+01   mladen
     982    0        982        102    2.041195034E-01    2.470703125E-01    5.797784879E-01    8.223807773E+01    3.425212354E+03    2.643102689E+02    3.662832828E-04    4.281515443E+01   mladen
     985    0        954          4    9.164565678E-03    4.624023438E-01    3.215410919E-01    1.814072738E+02    3.277723796E+03    1.009612803E+03    3.761100782E-06    6.134990513E+00   mladen
     999    0        954         38    1.464843750E-03    4.536132812E-01    3.178710938E-01    8.432553997E+01    2.922876390E+03    2.480611629E+02    5.891136503E-05    8.557178802E+00   mladen
    1002    0       1002        145    4.326171875E-01    1.523437480E-01    5.752434667E-01    8.004792494E+01    2.635880331E+03    3.598037930E+02    4.450040284E-04    3.294850414E+01   mladen
    1004    0       1004        118    3.031515915E-02    4.192877768E-01    2.746069388E-01    8.129423291E+01    2.489051996E+03    3.730156993E+02    3.863065109E-04    3.111314995E+01   mladen
    1007    0        954         16    1.464843750E-03    4.522616093E-01    3.203360040E-01    9.084197668E+01    2.391030876E+03    3.423381314E+02    2.295556055E-05    5.224719244E+00   mladen
    1013    0        954        134    2.680114337E-02    4.370200870E-01    3.041237703E-01    8.141934826E+01    2.135867824E+03    2.913058303E+02    3.212188399E-04    7.678254154E+00   mladen
    1022    0       1022         90    3.574218730E-01    2.611606757E-01    2.920452105E-01    8.025460484E+01    1.895245003E+03    2.054894444E+02    2.556796164E-04    1.272887321E+01   mladen
    1023    0       1023        113    3.274630571E-01    7.421874802E-02    5.812374805E-01    8.270938411E+01    1.889437549E+03    2.450747089E+02    3.341486433E-04    2.361796936E+01   mladen
    1026    0        954         14    1.171874901E-02    4.575290169E-01    3.149448160E-01    9.108619160E+01    1.830514907E+03    2.731668211E+02    2.137013988E-05    6.443137330E+00   mladen
    1041    0        954          8    4.364799809E-03    4.541015635E-01    3.256550820E-01    8.685616562E+01    1.465068527E+03    3.528761143E+02    4.929622369E-06    6.809568190E+00   mladen
    1225    0       1225          7    1.279296875E-01    2.867294958E-01    4.414062480E-01    8.067581779E+01    2.927393378E+02    1.144854205E+02    4.179615979E-05    3.659241723E+00   mladen
    1263    0       1263         17    4.228530108E-01    1.806845015E-01    5.068423574E-01    8.051805998E+01    2.681880218E+02    1.199145900E+02    1.089988648E-04    3.352350273E+00   mladen
    1440    0       1440        157    1.918945312E-01    5.147358269E-02    9.293768375E-01    8.514007800E+01    1.888211761E+04    4.987538536E+02    3.070349779E-04    2.360264701E+02   mladen
    1442    0       1442         90    3.857950871E-01    1.261115206E-01    7.236767516E-01    8.212560777E+01    4.038969003E+03    3.918322088E+02    2.627439707E-04    5.048711254E+01   mladen
    1443    0       1443        191    1.488485904E-02    1.712881497E-01    9.353758127E-01    8.152104089E+01    3.631921514E+03    3.534612471E+02    6.136035216E-04    6.503568840E+00   mladen
    1445    0       1445        145    2.103098419E-01    7.324218750E-02    8.925781230E-01    8.174417227E+01    3.505248272E+03    3.282445172E+02    4.230909159E-04    4.381560340E+01   mladen
    1446    0       1446        139    4.839054354E-01    4.785156250E-02    8.613281230E-01    8.049778531E+01    3.481626507E+03    3.102658049E+02    4.669553980E-04    4.352033134E+01   mladen
    1448    0       3815         63    1.953125990E-03    3.315429688E-01    8.949466988E-01    8.117690835E+01    3.262120560E+03    1.742419956E+02    1.067772816E-04    3.511460772E+00   mladen
    1449    0       1443        125    1.757812302E-02    1.808856242E-01    9.329422811E-01    8.040404867E+01    3.102970760E+03    2.442944290E+02    4.058901792E-04    5.556393183E+00   mladen
    1453    0       1453         95    2.773437480E-01    2.295979411E-01    7.532333834E-01    8.299707136E+01    2.361084422E+03    3.437997915E+02    2.433432653E-04    2.951355528E+01   mladen
    1454    0       3815          7    3.417968750E-03    3.286132812E-01    9.018554688E-01    1.710191956E+02    2.358667722E+03    2.980755490E+02    9.716157070E-06    9.010591128E+00   mladen
    1455    0       1455        114    4.697287443E-01    1.367187302E-02    7.470760500E-01    8.013699004E+01    2.292854427E+03    3.701323631E+02    3.143779143E-04    2.866068033E+01   mladen
    1458    0       1458         69    4.736328125E-01    1.092190762E-01    6.064570297E-01    8.091827879E+01    1.761538386E+03    3.640543685E+02    1.871567326E-04    2.201922982E+01   mladen
    1481    0       1481          9    2.343750396E-02    2.037761316E-01    8.564753090E-01    8.382316536E+01    4.061208424E+02    2.027394986E+02    1.087579422E-04    5.076510531E+00   mladen
    1493    0       1493         11    2.633748778E-01    2.128906250E-01    6.445312540E-01    8.127970221E+01    3.609755434E+02    1.392370755E+02    9.129094066E-05    4.512194293E+00   mladen
    1513    0       1513         10    2.675788599E-01    2.460937460E-01    9.632125697E-01    9.131868485E+01    3.226789685E+02    2.067077763E+02    1.232074358E-04    4.033487106E+00   mladen
    1609    0       1609       1142    4.724582271E-01    4.362820341E-01    9.862765866E-01    8.000821119E+01    1.407925793E+05    5.469800838E+02    1.577530591E-03    1.659795893E+02   mladen
    1610    0       1610        829    1.157226562E-01    3.417968740E-01    8.140685397E-01    8.032626492E+01    3.255179738E+04    3.755796778E+02    1.702757433E-03    4.068974673E+02   mladen
    1618    0       1618        353    1.960596046E-01    2.729492188E-01    8.115234365E-01    8.142970047E+01    1.337399195E+04    3.025740587E+02    6.399542906E-04    1.671748994E+02   mladen
    1629    0       1629        164    4.369849103E-01    3.564505884E-01    8.807360659E-01    8.127284016E+01    4.080402158E+03    3.668831550E+02    4.865616678E-04    5.100502697E+01   mladen
    1631    0       1631        109    3.995331895E-01    4.619140625E-01    7.070312480E-01    8.070165949E+01    3.749261982E+03    3.175992221E+02    3.076188182E-04    4.686577478E+01   mladen
    1635    0       1635         89    1.582031270E-01    4.364713875E-01    6.726700072E-01    8.018735932E+01    3.456007099E+03    3.135571431E+02    3.223932218E-04    4.320008873E+01   mladen
    1638    0       1638         57    2.395159483E-01    4.462901685E-01    6.031142078E-01    8.783427275E+01    3.237507497E+03    5.286621462E+02    2.245138760E-04    4.046884371E+01   mladen
    1639    0       1639         91    4.523748893E-01    4.619484285E-01    8.476562480E-01    8.328996556E+01    3.207655512E+03    2.764250497E+02    2.739171059E-04    4.009569390E+01   mladen
    1644    0       1609          3    4.682617188E-01    4.428215316E-01    9.897454512E-01    1.558677896E+02    3.156205270E+03    1.344125607E+03    3.755443563E-06    4.772093965E+00   mladen
    1649    0       1609          6    4.747038572E-01    4.399414062E-01    9.887681453E-01    8.387155414E+01    3.007626971E+03    7.296051981E+02    4.076986749E-06    3.545674720E+00   mladen
    1651    0       1651        109    4.322478047E-01    3.828125020E-01    8.560027913E-01    8.008644931E+01    2.912830972E+03    3.460824758E+02    2.991077840E-04    3.641038715E+01   mladen
    1652    0       1652         45    3.329236419E-01    3.458013396E-01    8.476562520E-01    8.095968618E+01    2.900410779E+03    3.914616192E+02    1.312477355E-04    3.625513474E+01   mladen
