          x           y           z           id          
   0.5317136   0.8885571   0.8324051           0
   0.5287701   0.8897313   0.8247653           0
   0.5302713   0.8847615   0.8329769           0
   0.5308609   0.8831457   0.8293267           0
   0.5312032   0.8827105   0.8343414           0
   0.5316257   0.8824767   0.8309377           0
   0.5316308   0.8859184   0.8314885           0
   0.5307730   0.8836447   0.8333363           0
   0.5318063   0.8835118   0.8282835           0
   0.5311213   0.8842048   0.8328458           0
   0.5315138   0.8839779   0.8303081           0
   0.5317587   0.8839199   0.8350678           0
   0.5304963   0.8821709   0.8306695           0
   0.5317035   0.8837638   0.8341121           0
   0.5307684   0.8820456   0.8335457           0
   0.5318385   0.8856838   0.8310583           0
   0.5310355   0.8828229   0.8344032           0
   0.5314371   0.8836458   0.8318991           0
   0.5325770   0.8891403   0.8317636           0
   0.5341846   0.8835578   0.8334996           0
   0.5322651   0.8859043   0.8319622           0
   0.5296661   0.8834154   0.8345700           0
   0.5337988   0.8837222   0.8296834           0
   0.5289887   0.8821587   0.8355302           0
   0.5333464   0.8829683   0.8312583           0
   0.5297449   0.8904238   0.8231625           0
   0.5280635   0.8816257   0.8372819           0
   0.5309007   0.8895585   0.8260356           0
   0.5316358   0.8870183   0.8332762           0
   0.5316941   0.8866100   0.8332572           0
   0.5320043   0.8774720   0.8328435           0
   0.5320131   0.8842690   0.8345548           0
   0.5323919   0.8870706   0.8316805           0
   0.5320045   0.8800150   0.8331068           0
   0.5319160   0.8841639   0.8348777           0
   0.5298618   0.8823514   0.8338510           0
   0.5326128   0.8824724   0.8308756           0
   0.5314641   0.8837417   0.8341751           0
   0.5310153   0.8821780   0.8347938           0
   0.5318067   0.8838966   0.8347013           0
   0.5316625   0.8839737   0.8337333           0
   0.5339132   0.8925098   0.8250567           0
   0.5329818   0.8892542   0.8251954           0
   0.5301818   0.8907008   0.8257535           0
   0.5278800   0.8812292   0.8369539           0
   0.5322384   0.8885576   0.8322319           0
   0.5281929   0.8840292   0.8260894           0
   0.5324517   0.8796703   0.8281095           0
   0.5302696   0.8872639   0.8251798           0
   0.5302804   0.8864755   0.8353143           0
   0.5331228   0.8802387   0.8303814           0
   0.5318653   0.8820505   0.8338403           0
   0.5327588   0.8815199   0.8315045           0
   0.5291375   0.8833490   0.8359844           0
   0.5320300   0.8876489   0.8335427           0
   0.5300413   0.8860386   0.8357866           0
   0.5309186   0.8821119   0.8335041           0
   0.5284585   0.8810073   0.8318492           0
   0.5318421   0.8809160   0.8345906           0
   0.5273695   0.8872239   0.8312418           0
   0.5310945   0.8853955   0.8325840           0
   0.5331587   0.8836292   0.8332415           0
   0.5328482   0.8864020   0.8326512           0
   0.5332270   0.8862740   0.8325880           0
   0.5312905   0.8856982   0.8321196           0
   0.5314901   0.8861523   0.8333027           0
   0.5332430   0.8849759   0.8307840           0
   0.5307421   0.8871341   0.8331719           0
   0.5323849   0.8833406   0.8317409           0
   0.5327689   0.8859565   0.8326662           0
   0.5319631   0.8863161   0.8316735           0
   0.5308523   0.8858281   0.8349024           0
   0.5324998   0.8849999   0.8326889           0
   0.5333769   0.8855130   0.8330520           0
   0.5305584   0.8823135   0.8371396           0
   0.5314249   0.8811721   0.8353709           0
   0.5346691   0.8863179   0.8316839           0
   0.5324011   0.8837089   0.8334151           0
   0.5318013   0.8810912   0.8339648           0
   0.5310163   0.8852832   0.8319693           0
   0.5313867   0.8846638   0.8316484           0
   0.5317887   0.8850013   0.8327479           0
   0.5298960   0.8852042   0.8339598           0
   0.5316673   0.8852394   0.8325170           0
   0.5306672   0.8844255   0.8315307           0
   0.5316425   0.8838072   0.8337514           0
   0.5309878   0.8848429   0.8332320           0
   0.5315786   0.8851231   0.8309008           0
   0.5311736   0.8843457   0.8323536           0
   0.5316541   0.8856351   0.8325929           0
   0.5306755   0.8847861   0.8331120           0
   0.5332056   0.8854823   0.8339391           0
   0.5316895   0.8847731   0.8312688           0
   0.5317595   0.8852315   0.8321339           0
   0.5321897   0.8867804   0.8322817           0
   0.5291270   0.8830470   0.8342543           0
   0.5286169   0.8818833   0.8356932           0
   0.5327046   0.8864216   0.8329808           0
   0.5311674   0.8834563   0.8293676           0
   0.5322254   0.8848054   0.8327279           0
   0.5304795   0.8827308   0.8307430           0
   0.5317832   0.8844217   0.8316716           0
   0.5319165   0.8863071   0.8317636           0
   0.5318159   0.8850971   0.8317788           0
   0.5319207   0.8875958   0.8317132           0
   0.5314329   0.8883336   0.8320141           0
   0.5305289   0.8861709   0.8340460           0
   0.5316748   0.8860380   0.8315316           0
   0.5310332   0.8858480   0.8327314           0
   0.5304037   0.8852383   0.8326819           0
   0.5319724   0.8851191   0.8322114           0
   0.5320603   0.8858042   0.8320191           0
   0.5321989   0.8861417   0.8319596           0
   0.5314631   0.8851394   0.8310316           0
   0.5317866   0.8851733   0.8323255           0
   0.5308337   0.8846757   0.8313906           0
   0.5325420   0.8863499   0.8328095           0
   0.5309391   0.8812239   0.8354507           0
   0.5312774   0.8853538   0.8333030           0
   0.5332051   0.8882172   0.8386851           0
   0.5312771   0.8858162   0.8330067           0
   0.5319949   0.8866072   0.8316158           0
   0.5330944   0.8854822   0.8327946           0
   0.5318120   0.8854633   0.8319375           0
   0.5329593   0.8860294   0.8323886           0
   0.5286531   0.8878641   0.8290004           0
   0.5321324   0.8858699   0.8316938           0
   0.5322031   0.8845488   0.8328552           0
   0.5320415   0.8857717   0.8316494           0
   0.5314716   0.8849924   0.8318212           0
   0.5318667   0.8858546   0.8321157           0
   0.5317975   0.8835268   0.8321739           0
   0.5322213   0.8854117   0.8327096           0
   0.5328821   0.8880666   0.8339674           0
   0.5331038   0.8867997   0.8315530           0
   0.5315979   0.8856116   0.8319696           0
   0.5319933   0.8851781   0.8324592           0
   0.5323813   0.8872012   0.8309017           0
   0.5317599   0.8861385   0.8308169           0
   0.5320054   0.8848445   0.8323162           0
   0.5324538   0.8843873   0.8290666           0
   0.5308511   0.8825883   0.8343728           0
   0.5315635   0.8825350   0.8311047           0
   0.5317509   0.8815154   0.8320823           0
   0.5314781   0.8861506   0.8313704           0
   0.5318049   0.8850894   0.8357798           0
   0.5320941   0.8827759   0.8310200           0
   0.5341201   0.8902905   0.8273603           0
   0.5314521   0.8840792   0.8346020           0
   0.5327282   0.8935384   0.8292482           0
   0.5320373   0.8839131   0.8337057           0
   0.5298482   0.8834311   0.8338353           0
   0.5309633   0.8837398   0.8332637           0
   0.5280103   0.8938943   0.8263502           0
   0.5314900   0.8915724   0.8258956           0
   0.5306694   0.8841684   0.8323988           0
   0.5317287   0.8848352   0.8341381           0
   0.5317551   0.8844674   0.8320873           0
   0.5318452   0.8825951   0.8331741           0
   0.5323482   0.8834492   0.8325418           0
   0.5288617   0.8851200   0.8297395           0
   0.5337698   0.8892397   0.8264818           0
   0.5324224   0.8864326   0.8325748           0
   0.5314698   0.8827512   0.8353380           0
   0.5333656   0.8828574   0.8318079           0
   0.5331507   0.8832898   0.8303054           0
   0.5329439   0.8944445   0.8278599           0
   0.5300425   0.8810238   0.8285282           0
   0.5293720   0.8807429   0.8286397           0
   0.5319652   0.8843255   0.8341928           0
   0.5296983   0.8838497   0.8318741           0
   0.5308213   0.8821078   0.8342238           0
   0.5305600   0.8820671   0.8346987           0
   0.5320340   0.8850928   0.8332836           0
   0.5306782   0.8847601   0.8286973           0
