x                y                z              
 5.98735690E-01  5.58044910E-01  4.90679681E-01
 2.72141676E-03  1.02566934E+00  1.00616002E+00
 8.14328015E-01 -9.53344822E-01 -6.09589756E-01
 6.13071680E-01 -1.03568780E+00  6.83237910E-01
 5.11667058E-02 -2.38557339E-01  4.34448928E-01
 2.04872563E-01  4.23213504E-02  1.87772408E-01
 6.80726886E-01 -5.93891501E-01  5.05685568E-01
-5.97684160E-02  9.32026923E-01  2.24545375E-01
 4.04787153E-01  3.54502559E-01  7.42314756E-01
 1.27466786E+00 -7.97569811E-01 -2.15347767E-01
 4.22960371E-01  7.90319860E-01 -7.30025589E-01
 1.27164662E-01  2.52789445E-02  1.75282210E-01
 2.95317590E-01  3.28816444E-01 -1.15666844E-01
-7.29960725E-02  1.65924549E-01 -4.07739699E-01
-4.59339052E-01 -3.46999466E-01 -6.56915307E-01
 7.71918178E-01  6.52277172E-01 -5.59981525E-01
-7.28663266E-01 -8.00432086E-01 -9.62827325E-01
 1.17962480E-01 -3.88772726E-01 -3.26852351E-02
 5.43142036E-02 -1.23899272E-02  3.71345699E-01
 4.87966686E-01 -1.19574118E+00 -1.25336230E+00
-9.87470865E-01 -1.64743316E+00  1.40424991E+00
-6.47243708E-02  1.71318594E-02 -1.76315550E-02
-6.94465339E-01  3.68128151E-01 -1.49932563E-01
 1.31184638E+00  2.71375000E-01 -3.41183931E-01
-2.56820828E-01 -1.85768798E-01  2.54818294E-02
 8.38170350E-01  1.18306726E-01 -6.26887739E-01
-1.23276087E-02 -4.05124128E-01 -1.05687842E-01
-3.12932879E-01 -4.40945446E-01 -1.56615949E+00
 2.28133634E-01  1.12147915E+00 -6.92327380E-01
-5.21283150E-01  8.13999295E-01  7.41394376E-03
-1.14574648E-01  1.76349723E+00 -5.74154139E-01
 4.19026792E-01 -2.58732498E-01 -6.46225363E-03
 2.36661911E-01  5.35054989E-02  5.44188507E-02
 1.97057262E-01  4.55059260E-01 -2.57166475E-01
-9.98651028E-01  5.59400141E-01  5.67313144E-03
 5.97694159E-01  1.07304916E-01  1.13500106E+00
 1.46413073E-01 -4.97012734E-01 -4.80065159E-02
-1.84869245E-01 -3.31938356E-01  2.65228719E-01
-1.15359175E+00 -4.06026959E-01  1.08719975E-01
-9.41337179E-03  8.71105552E-01  3.61506522E-01
 3.69563490E-01  5.78065932E-01  2.89491594E-01
 5.20439863E-01  2.62822181E-01  4.94076282E-01
 6.36083335E-02  8.39330673E-01 -1.17943740E+00
-2.63459563E-01  9.72689968E-03  1.53076217E-01
-8.73512149E-01  2.99798578E-01 -2.49000221E-01
-7.36157835E-01 -6.26174212E-01 -4.09253627E-01
-1.50767490E-01  8.97764206E-01  2.56261975E-01
-5.00748754E-02  5.33745468E-01 -9.94834676E-02
 3.00601602E-01 -8.03087056E-01  3.89581323E-01
-2.10218444E-01  1.42078876E-01 -1.85771286E-01
