x                y                z              
-1.42912350E+01 -2.55472636E+00  6.52474687E-02
-3.87476015E+00  3.83354217E-01  1.62226986E-02
 1.07662356E+00  5.01115561E-01 -1.75682262E-01
-1.07341976E+01 -1.73793122E-01 -6.89013069E-03
 1.52668705E+01  1.93386860E+01 -5.01294553E-01
-4.74114847E+00 -5.80276060E+00  1.99742228E-01
 1.13062916E+01 -1.01822109E+01  1.83759987E-01
 7.46436656E-01  2.90290785E+00 -5.36772087E-02
 7.09116507E+00 -1.47568655E+00 -2.24215582E-01
-1.68508410E+00  1.20007157E+00  3.07200272E-02
-8.07947814E-02  3.88286209E+00  1.23742513E-01
 1.22760201E+01 -1.94326553E+01 -1.05237961E-01
 9.67493877E-02  9.52712631E+00 -9.92949530E-02
 8.78781021E-01  1.07972031E+01  2.58619171E-02
 3.34961367E+00  6.16339397E+00 -1.60577700E-01
-3.08965397E+00 -3.40365362E+00  1.95093587E-01
-8.48016441E-01  1.58793509E+00 -8.76871124E-03
 4.84377146E-01 -2.37147164E+00  7.25655437E-01
-2.45682049E+00  1.08878021E+01 -3.83008331E-01
-7.96279669E+00 -5.69479799E+00  1.40315369E-01
 1.30709529E+00 -3.18317127E+00 -1.04560234E-01
-1.62951037E-01 -4.13821965E-01 -2.71163940E-01
 1.45378761E+01 -9.41609955E+00 -1.55280247E-01
-3.68289888E-01 -3.08142376E+00 -8.22259411E-02
-9.54887450E-01 -6.64731085E-01 -3.03753186E-02
 8.77225623E-02 -6.63217545E+00 -6.63937703E-02
 1.58157129E+01 -7.02077818E+00  5.78468367E-02
-4.50952005E+00  6.34318352E+00 -3.41986328E-01
-5.24673223E+00 -4.01336908E+00  5.04796088E-01
-1.72737389E+01  5.57477679E-03  9.82469022E-02
 7.01638460E+00 -6.47803020E+00 -3.28294098E-01
 4.45989370E+00 -9.81525326E+00  5.62982112E-02
 7.81228721E-01 -1.49559259E+00 -4.04277027E-01
-5.38514328E+00 -1.33338046E+00  2.06189334E-01
-1.60199070E+01  1.25675507E+01  7.15503693E-02
-6.03032990E+01 -5.56549377E+01 -2.34044507E-01
-4.96591330E+00  6.68833637E+00  1.18405163E-01
-6.95392430E-01  1.03855915E-01  1.36263296E-01
 7.04099178E+00  1.29642048E+01 -2.10329443E-01
 5.22987306E-01 -1.02302158E+00 -2.53276736E-01
-5.26125240E+00  9.39197540E+00  6.35064006E-01
-4.41333055E-01 -1.14826858E-01  2.14887112E-02
 3.10749865E+00 -1.26965809E+01  5.06983846E-02
 2.50575504E+01 -2.56078548E+01 -6.85564458E-01
 4.93351877E-01 -1.74801672E+00 -1.06810266E-02
 2.87061095E-01  4.22201443E+00  2.39314418E-02
-9.29375947E-01 -1.53985167E+00  2.82593340E-01
 1.83568420E+01  1.54268684E+01 -1.96938977E-01
 1.65932798E+00 -1.22930869E-01 -8.88207555E-02
-2.05313950E+01 -1.16316116E+00  5.37284138E-03
 1.28323138E-01  1.03965402E+00 -1.02186620E-01
-1.49933267E+00 -2.68853045E+00 -1.17062539E-01
-2.90251225E-01 -5.98221874E+00 -2.03655958E-01
 3.36697435E+00 -1.82459116E+00 -1.99406698E-01
-5.33584213E+00  1.29338312E+00  1.00017667E-01
-2.18601537E+00  6.08315885E-01  2.01032147E-01
 1.32704604E+00 -5.10762787E+00  4.22339439E-01
 2.69886446E+00  4.10421419E+00  4.27150071E-01
 3.76397632E-02  9.18955088E-01 -4.68639955E-02
 3.99759722E+00  1.99191487E+00  8.69229972E-01
-1.93319678E+00  1.03283727E+00 -9.77274328E-02
 3.40896636E-01  1.99770272E+00 -3.82717490E-01
 7.30886555E+00 -6.91380882E+00 -5.97484559E-02
-7.84461260E+00 -1.02158508E+01  3.76081020E-01
-5.39086223E-01  4.77620840E-01  2.03171134E-01
 2.06307262E-01  2.24059410E+01 -8.06366622E-01
 2.64222980E-01  2.27891469E+00  1.83059648E-01
 9.33292627E-01 -1.39154005E+00 -1.72214150E-01
 4.86142683E+00  1.22972298E+00 -6.96563348E-02
-6.77934723E+01 -2.75054989E+01 -1.10242337E-01
-1.45334437E-01 -6.78424478E-01 -5.98373711E-02
-1.65292797E+01  9.86912060E+00 -5.28228357E-02
-3.43634033E+00 -8.41228068E-01  8.63799006E-02
-4.24633980E+01  3.57034349E+00  1.44511476E-01
-1.93960524E+00  3.05488682E+00 -8.36985946E-01
 1.68674135E+00 -5.06904006E-01 -5.34766018E-01
 1.61817932E+00 -8.03546238E+00 -1.81902871E-01
-3.29392576E+00  9.46592987E-01  3.64108115E-01
 2.09103823E+00 -2.81104827E+00 -2.06295207E-01
