# name	int	float
stud01	3	0.1428
stud02	6	0.2857
stud03	9	0.4285
stud04	12	0.5714
stud05	15	0.7142
stud06	18	0.8571
stud07	21	1.0000
stud08	24	1.1428
stud09	27	1.2857
stud10	30	1.4285
stud11	33	1.5714
stud12	36	1.7142
stud13	39	1.8571
stud14	42	2.0000
stud15	45	2.1428
stud16	48	2.2857
stud17	51	2.4285
stud18	54	2.5714
stud19	57	2.7142
stud20	60	2.8571
stud21	63	3.0000
stud22	66	3.1428
stud23	69	3.2857
stud24	72	3.4285
stud25	75	3.5714
stud26	78	3.7142
stud27	81	3.8571
stud28	84	4.0000
stud29	87	4.1428
stud30	90	4.2857
stud31	93	4.4285
stud32	96	4.5714
stud33	99	4.7142
stud34	102	4.8571
stud35	105	5.0000
stud36	108	5.1428
stud37	111	5.2857
stud38	114	5.4285
stud39	117	5.5714
stud40	120	5.7142
stud41	123	5.8571
stud42	126	6.0000
stud43	129	6.1428
stud44	132	6.2857
stud45	135	6.4285
stud46	138	6.5714
stud47	141	6.7142
stud48	144	6.8571
stud49	147	7.0000
stud50	150	7.1428
